subj_id,subj_name
01100002,การเขียนแบบเครื่องกลด้วยคอมพิวเตอร์
0111-0001,งานซ่อมบำรุงรักษาเบื้องต้น
1001 2001,คอมพิวเตอร์และสารสนเทศเพื่องานอาชีพ
1001-0001,คอมพิวเตอร์เบื้องต้น
1081002,การเขียนแบบก่อสร้าง 2
1100 1001,เขียนแบบเทคนิคเบื้องต้น
1100 1006,งานไฟฟ้าและอิเล็กทรอนิกส์เบื้องต้น
1100 1007,งานถอดประกอบเครื่องกลเบื้องต้น
1100-0001,การเขียนแผนธุรกิจเบื้องต้น
1100-0002,เบเกอรี่ ขนมอบ
1100-0003,การเพ้นท์เสื้อด้วยสีชอล์ค
1100-0004,การผูกผ้าในงานพิธีต่าง ๆ
1100-1001,เขียนแบบเทคนิคเบื้องต้น
1100-1003,ไฟฟ้าและอิเล็กทรอนิกส์เบื้องต้น
1100-1006,งานเครื่องยนต์เบื้องต้น
1100-1007,งานถอดประกอบเครื่องกลเบื้องต้น
1100-1303,อาหารคาวไทย
1100-9100,ออกแบบและเทคโนโลยี
1101-1101,ช่างซ่อมรถจักรยานยนต์
1101-1201,ช่างบริการรถจักรยานยนต์
1102 2001,เขียนแบบเครื่องมือกล 1
1102-0001,งานกัดแผ่นโลหะ
1103-0001,งานตัดลายกระจกด้วยน้ำยา
1103-0002,กัดลายกระจก
1103-0003,เลี่ยมกรอบพระพลาสติก
1103-0004,การทำมุ้งลวด
1103-1102,งานเชื่อมงานผลิตภัณฑ์ (ชั้นวางของ)
1104-0002,โคมไฟตั้งโต๊ะ
1104-0003,ทำกรอบพระพลาสติก
1104-0004,การเขียนโฮมเพจเบื้องต้น
1104-0005,การเดินสายไฟฟ้าในอาคาร
1104-0006,การซ่อมบำรุงคอมพิวเตอร์และอุปกรณ์เบื้องต้น
1104-0007,การวิเคราะห์เครือข่าย
1104-0008,พวงกุญแจเคลือบ PVC
1104-1102,การโปรแกรมหุ่นยนต์อุตสาหกรรม ระดับพื้นฐาน
1104-1401,การติดตั้งและบำรุงรักษางานในระบบไฟฟ้าแรงสูง
1104-2301,ช่างติดตั้งไฟฟ้าในอาคาร
1105 2118,การเขียนโปรแกรมคอมพิวเตอร์
1105 2121,หุ่นยนต์เบื้องต้น
1105 5333,งานควบคุมหุ่นยนต์การผลิตในงานอุตสาหกรรม
1105-2204,ช่างติดตั้งเครื่องรับสัญญาณดาวเทียม
1106-0001,ช่างเฟอร์นิเจอร์
1106-0002,ทำหุ่นจำลองกระดาษ
1111-0001,อัดกรอบวิทยาศาสตร์
1306-1101,ทฤษฏีดนตรีสากลเบื้องต้น
2000 1101,ภาษาไทยพื้นฐาน
2000 1102,ภาษาไทยเพื่ออาชีพ
2000 1103,ภาษาไทยธุรกิจ
2000 1104,การพูดในงานอาชีพ
2000 1105,การเขียนในงานอาชีพ
2000 1106,ภาษาไทยเชิงสร้างสรรค์
2000 1201,ภาษาอังกฤษในชีวิตจริง 1
2000 1202,ภาษาอังกฤษในชีวิตจริง 2
2000 1203,ภาษาอังกฤษฟัง-พูด 1
2000 1204,ภาษาอังกฤษฟัง-พูด 2
2000 1205,การอ่านสื่อสิ่งพิมพ์ในชีวิตประจำวัน
2000 1206,การเขียนในชีวิตประจำวัน
2000 1207,ภาษาอังกฤษเทคนิคสำหรับงานช่าง
2000 1301,วิทยาศาสตร์เพื่อพัฒนาทักษะชีวิต
2000 1302,วิทยาศาสตร์เพื่อพัฒนาอาชีพช่างอุตสาหกรรม
2000 1303,วิทยาศาสตร์เพื่อพัฒนาอาชีพและบริการ
2000 1306,โครงงานวิทยาศาสตร์
2000 1401,คณิตศาสตร์พื้นฐาน
2000 1402,คณิตศาสตร์พื้นฐานอาชีพ
2000 1403,คณิตศาสตร์อุตสาหกรรม 1
2000 1404,คณิตศาสตร์อุตสาหกรรม 2
2000 1405,เรขาคณิตวิเคราะห์และแคลคูลัสเบื้องต้น
2000 1406,คณิตศาสตร์พาณิชยกรรม
2000 1501,หน้าที่พลเมืองและศีลธรรม
2000 1502,ทักษะชีวิตและสังคม
2000 1503,ภูมิศาสตร์และประวัติศาสตร์ไทย
2000 1504,อาเซียนศึกษา
2000 1505,เหตุการณ์ปัจจุบัน
2000 1506,วัฒนธรรมอาเซียน
2000 1507,ประวัติศาสตร์ชาติไทย
